Fecha,Precio Min. Bolsa diario,Precio Max. Bolsa diario,PPP Bolsa diario,Precio Escasez Activación,Precio Escasez Ponderado,PPP Bolsa Mes,Precio Escasez Inferior,Precio Escasez Superior,Precio Escasez
2025-03-01 00:00:00,145.2757537509,194.2757537509,170.090313,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-02 00:00:00,131.2698934029,187.2698934029,153.137101,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-03 00:00:00,136.5941484277,630.5941484277,220.384596,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-04 00:00:00,190.1321116796,620.1321116796,268.643476,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-05 00:00:00,140.4340234327,401.3340234327,228.278784,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-06 00:00:00,137.2993024641,622.2993024641,234.696891,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-07 00:00:00,129.1410058742,409.1410058742,192.208378,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-08 00:00:00,131.1558773448,391.1558773448,190.09286,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-09 00:00:00,111.5849130118,403.1369130118,191.770673,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-10 00:00:00,160.0240377448,940.0240377448,251.579819,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-11 00:00:00,163.7391000758,943.7391000758,301.416028,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-12 00:00:00,162.6685723677,942.6685723677,289.499214,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-13 00:00:00,160.4994088413,380.4994088413,258.927791,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-14 00:00:00,156.3546483075,391.3546483075,248.704014,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-15 00:00:00,162.5537537549,397.5537537549,242.498636,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
2025-03-16 00:00:00,192.3549582766,405.3549582766,245.944105,,914.5365999536004,236.86840986295874,323.8920374380998,937.3031351585997,770.5472543210002
