Precio Escasez de Activación,Fecha,Precio Bolsa Nacional Ponderado Diario,Precio Escasez Inferior,Precio Escasez Superior,Precio Escasez,PPP Mercado Regulado,PPP Mercado No Regulado
993.7600406401,2024-05-04 00:00:00,321.210522,,,"793,30",310.08537585482725,295.0284507961904
993.7600406401,2024-05-05 00:00:00,312.926291,,,"793,30",310.866870061188,296.179504837776
993.7600406401,2024-05-06 00:00:00,307.034291,,,"793,30",309.7682113766086,293.9494473895876
993.7600406401,2024-05-07 00:00:00,289.7952,,,"793,30",310.00482249738974,293.99330892608083
993.7600406401,2024-05-08 00:00:00,295.072164,,,"793,30",309.64879320785445,293.7300061370725
993.7600406401,2024-05-09 00:00:00,266.175597,,,"793,30",309.9195319976752,293.4912240942001
993.7600406401,2024-05-10 00:00:00,248.121278,,,"793,30",309.57304467788583,293.08779765265075
993.7600406401,2024-05-11 00:00:00,224.829696,,,"793,30",309.9544182882709,292.8485868556441
993.7600406401,2024-05-12 00:00:00,143.338962,,,"793,30",310.5707043110998,293.66570373290205
993.7600406401,2024-05-13 00:00:00,195.890702,,,"793,30",311.34641174431255,293.7546293221433
993.7600406401,2024-05-14 00:00:00,226.627133,,,"793,30",309.94543262181577,292.26953300463737
993.7600406401,2024-05-15 00:00:00,212.501356,,,"793,30",309.85071082583767,292.2306364708531
993.7600406401,2024-05-16 00:00:00,221.39467,,,"793,30",310.19939499709153,292.62411718389757
993.7600406401,2024-05-17 00:00:00,270.494645,,,"793,30",310.050343661026,293.1773913399451
993.7600406401,2024-05-18 00:00:00,265.297769,,,"793,30",310.16464104324365,293.7312254157929
993.7600406401,2024-05-19 00:00:00,200.829833,,,"793,30",311.0083118590075,294.3643037948325
993.7600406401,2024-05-20 00:00:00,295.99326,,,"793,30",310.1678126599092,293.86900586298884
993.7600406401,2024-05-21 00:00:00,282.792094,,,"793,30",310.4395419888642,293.3448862233835
993.7600406401,2024-05-22 00:00:00,370.529961,,,"793,30",310.15084383757693,295.6961898627818
993.7600406401,2024-05-23 00:00:00,382.425135,,,"793,30",310.0611230294064,295.7561398721346
993.7600406401,2024-05-24 00:00:00,461.025293,,,"793,30",310.3609277899081,297.88438675769856
993.7600406401,2024-05-25 00:00:00,478.744375,,,"793,30",310.55219373199554,298.5553893162427
993.7600406401,2024-05-26 00:00:00,369.772348,,,"793,30",310.9172998949617,298.5799149085466
993.7600406401,2024-05-27 00:00:00,452.378649,,,"793,30",310.46024334517773,298.42908111499617
993.7600406401,2024-05-28 00:00:00,431.365508,,,"793,30",310.4863706542041,297.8239244781579
993.7600406401,2024-05-29 00:00:00,468.698963,,,"793,30",310.4481787443645,298.27038655149477
993.7600406401,2024-05-30 00:00:00,346.223073,,,"793,30",310.15802161824956,296.5869576592553
993.7600406401,2024-05-31 00:00:00,223.337997,,,"793,30",309.92574243126046,294.1754489432422
975.8979396095,2024-06-01 00:00:00,237.768119,,,"766,53",316.15415610801864,300.0877700391518
975.8979396095,2024-06-02 00:00:00,242.28089,,,"766,53",316.8670615185962,302.3114473258268
975.8979396095,2024-06-03 00:00:00,261.641719,,,"766,53",316.7866263945202,302.41948264339345
975.8979396095,2024-06-04 00:00:00,312.050666,,,"766,53",314.95736522243226,300.9017627565984
975.8979396095,2024-06-05 00:00:00,406.696433,,,"766,53",314.9985437387823,301.7931486842146
975.8979396095,2024-06-06 00:00:00,362.556936,,,"766,53",314.99371229966897,301.19349106210353
975.8979396095,2024-06-07 00:00:00,356.547381,,,"766,53",314.8671630890753,301.051036800531
975.8979396095,2024-06-08 00:00:00,377.752334,,,"766,53",315.41973458581396,302.08766716682004
975.8979396095,2024-06-09 00:00:00,311.75421,,,"766,53",316.1644441448125,303.5902718129528
975.8979396095,2024-06-10 00:00:00,307.654649,,,"766,53",316.33678461546816,302.90145558792506
975.8979396095,2024-06-11 00:00:00,310.293006,,,"766,53",314.5623822344387,300.90707034390226
975.8979396095,2024-06-12 00:00:00,338.1419,,,"766,53",314.83060745533373,300.6575927681358
975.8979396095,2024-06-13 00:00:00,363.362336,,,"766,53",314.6754270579978,301.5746325840211
975.8979396095,2024-06-14 00:00:00,372.446373,,,"766,53",314.7114237087714,301.7888020141662
975.8979396095,2024-06-15 00:00:00,295.294771,,,"766,53",315.05582820705666,301.3312908508002
975.8979396095,2024-06-16 00:00:00,278.576711,,,"766,53",315.65365455433965,303.19162633452333
975.8979396095,2024-06-17 00:00:00,262.840415,,,"766,53",314.57753092707725,299.9523548630853
975.8979396095,2024-06-18 00:00:00,246.769429,,,"766,53",314.8577483313334,299.5266373858156
975.8979396095,2024-06-19 00:00:00,319.61342,,,"766,53",314.54065132055774,300.93285330903814
975.8979396095,2024-06-20 00:00:00,322.841613,,,"766,53",314.56260581208164,301.11487845787235
975.8979396095,2024-06-21 00:00:00,224.752531,,,"766,53",314.6095852481318,299.4333556742998
975.8979396095,2024-06-22 00:00:00,264.206773,,,"766,53",315.2187664269154,300.2663465282975
975.8979396095,2024-06-23 00:00:00,191.862902,,,"766,53",316.14642457300414,301.90305476926954
975.8979396095,2024-06-24 00:00:00,241.608939,,,"766,53",314.5913820408714,299.9987799690003
975.8979396095,2024-06-25 00:00:00,271.988899,,,"766,53",314.559548633472,299.83915573832184
975.8979396095,2024-06-26 00:00:00,268.982534,,,"766,53",314.4609496440214,299.7639491529908
975.8979396095,2024-06-27 00:00:00,286.098963,,,"766,53",314.35110672080157,300.03253018478773
975.8979396095,2024-06-28 00:00:00,221.511954,,,"766,53",314.5747206006502,299.111482998641
975.8979396095,2024-06-29 00:00:00,205.352438,,,"766,53",315.3515867630634,299.3692347253025
975.8979396095,2024-06-30 00:00:00,115.68779,,,"766,53",316.14822513829125,300.0547683918953
951.2522911596,2024-07-01 00:00:00,130.345131,,,"810,71",321.051473512925,299.3256846057517
951.2522911596,2024-07-02 00:00:00,170.775722,,,"810,71",319.93016157604217,297.54586768394006
951.2522911596,2024-07-03 00:00:00,191.119714,,,"810,71",320.08450562760044,297.61149219833607
951.2522911596,2024-07-04 00:00:00,215.13852,,,"810,71",320.0699869196045,298.26498859271055
951.2522911596,2024-07-05 00:00:00,209.452182,,,"810,71",319.8952536159835,299.22133290069854
951.2522911596,2024-07-06 00:00:00,160.829368,,,"810,71",320.13656788815786,295.73565004438
951.2522911596,2024-07-07 00:00:00,137.950376,,,"810,71",320.746781083623,297.4941717045784
951.2522911596,2024-07-08 00:00:00,203.010435,,,"810,71",319.67905207887986,296.06576412946504
951.2522911596,2024-07-09 00:00:00,254.91469,,,"810,71",319.995543425893,296.6521128312406
951.2522911596,2024-07-10 00:00:00,220.081576,,,"810,71",320.1055992148072,295.3292505574759
951.2522911596,2024-07-11 00:00:00,341.22502,,,"810,71",320.1302023925138,297.98902361742086
951.2522911596,2024-07-12 00:00:00,300.402373,,,"810,71",319.91664063292404,296.7946316197939
951.2522911596,2024-07-13 00:00:00,272.180987,,,"810,71",320.5273663242052,297.61850293752786
951.2522911596,2024-07-14 00:00:00,230.549181,,,"810,71",320.8294741998217,298.41458514993684
951.2522911596,2024-07-15 00:00:00,292.107653,,,"810,71",319.63808170895857,297.0381512335765
